run,kB,reclen,write,rewrite,read,reread,rand_read,rand_write,bkwd_read,rec_rewrite,strd_read,fwrite,frewrite,fread,freread
1,2097152,16384,197711,189307,227654,227464,215032,176309,215173,247627,205930,1870046,2870667,6507681,5466627
2,2097152,16384,196516,193058,227935,227731,217444,171683,218021,263880,215069,1871085,2810389,6489432,5456884
3,2097152,16384,197648,192939,226938,232017,213399,172548,222496,275090,215834,1829121,2731388,6608531,5444943
4,2097152,16384,199855,205447,263345,260516,253695,180887,256781,269291,253200,1844673,2809057,6448546,5331205
5,2097152,16384,196425,199507,246190,173023,241401,176611,241840,255706,241242,1872574,2814137,6504490,5469153
6,2097152,16384,198158,195140,242602,243544,235552,177645,236928,274452,234917,1875129,2856758,6856799,5494670
7,2097152,16384,196048,203580,243443,242819,210118,175187,211035,270035,212587,1833073,2803155,6236069,5287451
8,2097152,16384,192979,189714,246573,244896,233135,170356,236616,280559,238265,1843286,2787587,6595440,5252594
9,2097152,16384,201318,194537,256644,251369,242255,172019,240623,252424,247476,1864330,2851425,6908455,5453748
10,2097152,16384,203115,201312,278366,280208,269881,172833,274192,245915,279540,1832675,2800051,6681997,5311384
